"id";"coordenador";"idIdentificacao";"tipoUtilizador"
283;0;a21803430;Aluno
284;0;a21803387;Aluno
285;0;a21810092;Aluno
286;0;a21805468;Aluno
287;0;a21700052;Aluno
288;0;"56";Empresa
289;0;"57";Empresa
290;0;p6172;ProfessorDEISI
291;0;p5441;ProfessorDEISI
292;0;p4492;ProfessorDEISI
293;0;"58";Empresa
294;0;"59";Empresa
295;0;"60";Empresa
296;0;"61";Empresa
297;0;a21908727;Aluno
298;0;a22006194;Aluno
299;0;p901798;ProfessorDEISI
300;0;"62";Empresa
301;0;a21803655;Aluno
302;0;a21807001;Aluno
303;0;"63";Empresa
304;0;"64";Empresa
305;0;a21904353;Aluno
306;0;a21904253;Aluno
307;0;a21803823;Aluno
308;0;a21701018;Aluno
309;0;"65";Empresa
310;0;a22003435;Aluno
311;0;a21003479;Aluno
312;0;a21502898;Aluno
313;0;a21505293;Aluno
314;0;a20060705;Aluno
315;0;"66";Empresa
316;0;a22006053;Aluno
317;0;p5546;ProfessorDEISI
318;0;a22005557;Aluno
319;0;p6255;ProfessorDEISI
320;0;a22001428;Aluno
321;0;a21801241;Aluno
322;0;a22001757;Aluno
323;0;p6239;ProfessorDEISI
324;0;p5652;ProfessorDEISI
325;0;a22000492;Aluno
326;0;a22003398;Aluno
327;0;a21906942;Aluno
328;0;a20065449;Aluno
329;0;a21903043;Aluno
330;0;a22002197;Aluno
331;0;p2211;ProfessorDEISI
332;0;a21906179;Aluno
333;0;a21903611;Aluno
334;0;a20063253;Aluno
335;0;a21904825;Aluno
336;0;a22006692;Aluno
337;0;a21903016;Aluno
338;0;a21902660;Aluno
339;0;a21905643;Aluno
340;0;a21905131;Aluno
341;0;a21702354;Aluno
342;0;a22002703;Aluno
343;0;a21905158;Aluno
344;0;"67";Empresa
345;0;a21902813;Aluno
346;0;a21901256;Aluno
347;0;a21906959;Aluno
348;0;"68";Empresa
349;0;"69";Empresa
350;0;"70";Empresa
351;0;a21703345;Aluno
352;0;"71";Empresa
353;0;a21904445;Aluno
354;0;a21904341;Aluno
355;0;a22004316;Aluno
356;0;a21904553;Aluno
357;0;a21905840;Aluno
358;0;a22006933;Aluno
359;0;"72";Empresa
360;0;"73";Empresa
361;0;a21904946;Aluno
362;0;a21905985;Aluno
363;0;a21902803;Aluno
364;0;a21906948;Aluno
365;0;a21904536;Aluno
366;0;a22007545;Aluno
367;0;p6368;ProfessorDEISI
368;0;a22008013;Aluno
369;0;a21800876;Aluno
370;0;a21900295;Aluno
371;0;p6301;ProfessorDEISI
372;0;a21903149;Aluno
373;0;a21901216;Aluno
374;0;a21806180;Aluno
375;0;"74";Empresa
376;0;"75";Empresa
377;0;a21903361;Aluno
378;0;"76";Empresa
379;0;"77";Empresa
380;0;a21901101;Aluno
381;0;a21907715;Aluno
382;0;a21805799;Aluno
383;0;a21905157;Aluno
384;0;emp78;EmpEnt
385;0;a21902946;Aluno
386;0;emp79;EmpEnt
387;0;a21902319;Aluno
388;0;a21703237;Aluno
389;0;a21904401;Aluno
390;0;a22002611;Aluno
391;0;a20060775;Aluno
392;0;"80";Empresa
393;0;"81";Empresa
394;0;a21502276;Aluno
395;0;a22101527;Aluno
396;0;"82";Empresa
397;0;a22000306;Aluno
398;0;a21902652;Aluno
399;0;"83";Empresa
400;0;a22109263;Aluno
401;0;a22000212;Aluno
402;0;p5958;ProfessorDEISI
403;0;a22106316;Aluno
404;0;p6419;ProfessorDEISI
405;0;a22108205;Aluno
406;0;p6265;ProfessorDEISI
407;0;a22001972;Aluno
408;0;a22110352;Aluno
409;0;a22001042;Aluno
410;0;a22107603;Aluno
411;0;a22000019;Aluno
412;0;a22103831;Aluno
413;0;p5782;ProfessorDEISI
414;0;a21906899;Aluno
415;0;a20064431;Aluno
416;0;a22104010;Aluno
417;0;a22007237;Aluno
418;0;a22007457;Aluno
419;0;a22102727;Aluno
420;0;a22004278;Aluno
421;0;a22001658;Aluno
422;0;a22007519;Aluno
423;0;a22004275;Aluno
424;0;a22003298;Aluno
425;0;a22106935;Aluno
426;0;a22002153;Aluno
427;0;a22102554;Aluno
428;0;a22002402;Aluno
429;0;a22003766;Aluno
430;0;a22103941;Aluno
431;0;a22003266;Aluno
432;0;p6240;ProfessorDEISI
433;0;a22006526;Aluno
434;0;a22104464;Aluno
435;0;a21801093;Aluno
436;0;a22110679;Aluno
437;0;p7049;ProfessorDEISI
438;0;a22001936;Aluno
439;0;a22004356;Aluno
440;0;"84";Empresa
441;0;a22002069;Aluno
442;0;p7078;ProfessorDEISI
443;0;a22002629;Aluno
444;0;a22001628;Aluno
445;0;a22003218;Aluno
446;0;a21804766;Aluno
447;0;p4693;ProfessorDEISI
448;0;a22003736;Aluno
449;0;p1904;ProfessorDEISI
450;0;a22103439;Aluno
451;0;p1508;ProfessorDEISI
452;0;"85";Empresa
453;0;"86";Empresa
454;0;a22003407;Aluno
455;0;a22003179;Aluno
456;0;a22109220;Aluno
457;0;a21904209;Aluno
458;0;p6183;ProfessorDEISI
459;0;a22003183;Aluno
460;0;a22202497;Aluno
461;0;a22004242;Aluno
462;0;"87";Empresa
463;0;"88";Empresa
464;0;"89";Empresa
465;0;a22102750;Aluno
466;0;a21704025;Aluno
467;0;a22001810;Aluno
468;0;a22005407;Aluno
469;0;"90";Empresa
470;0;"91";Empresa
471;0;emp92;EmpEnt
472;0;p1658;ProfessorDEISI
473;0;a22005813;Aluno
474;0;a22007578;Aluno
475;0;emp93;EmpEnt
476;0;"94";Empresa
477;0;a21700980;Aluno
478;0;p6949;ProfessorDEISI
479;0;"95";Empresa
480;0;p6902;ProfessorDEISI
481;0;a22007560;Aluno
482;0;emp96;EmpEnt
483;0;a22004247;Aluno
484;0;"97";Empresa
485;0;a22007060;Aluno
486;0;a22006023;Aluno
487;0;a22004314;Aluno
488;0;"98";Empresa
489;0;a22005094;Aluno
490;0;a22002160;Aluno
491;0;a22006182;Aluno
492;0;a22103724;Aluno
493;0;a22005012;Aluno
494;0;a21904220;Aluno
495;0;a22007159;Aluno
496;0;"99";Empresa
497;0;p6476;ProfessorDEISI
498;0;"100";Empresa
499;0;a21700223;Aluno
500;0;a21503845;Aluno
501;0;"101";Empresa
502;0;"102";Empresa
503;0;"103";Empresa
504;0;"104";Empresa
505;0;a21900599;Aluno
506;0;a21803339;Aluno
507;0;"105";Empresa
508;0;a22000745;Aluno
509;0;"106";Empresa
510;0;a22100444;Aluno
511;0;p7128;ProfessorDEISI
512;0;p3603;ProfessorDEISI
513;0;p175;ProfessorDEISI
514;0;a22209718;Aluno
515;0;p6503;ProfessorDEISI
516;0;p6800;ProfessorDEISI
517;0;a22205855;Aluno
518;0;a22204770;Aluno
519;0;a22203479;Aluno
520;0;"107";Empresa
521;0;p7348;ProfessorDEISI
522;0;a22107478;Aluno
523;0;p7559;ProfessorDEISI
524;0;a22108693;Aluno
525;0;a22109679;Aluno
526;0;"108";Empresa
527;0;"109";Empresa
528;0;a22107600;Aluno
529;0;a22106142;Aluno
530;0;a22106688;Aluno
531;0;a22205245;Aluno
532;0;a22002469;Aluno
533;0;a22004525;Aluno
